date,count,mean temp,mean hum,mean wind,mean dew,mean pressure,mean visib,Events,is_busy
2016-5-17,1331,57,72,5,47,30.19,9,Rain,2
2016-5-18,2179,61,61,7,44,30.12,9,Rain,3
2016-5-19,2527,64,55,5,43,30.11,10,Rain,3
2016-5-2,1496,57,83,5,50,29.97,7,Rain-Thunderstorm,2
2016-5-20,2760,65,48,5,40,30.22,10,None,3
2016-5-21,1000,58,78,10,50,30.0,6,Rain,1
2016-5-22,1485,59,71,7,50,29.85,10,Rain,2
2016-5-23,1964,66,68,5,54,29.9,9,Rain-Thunderstorm,3
2016-5-24,2426,70,58,9,50,29.93,10,Rain,3
2016-5-25,2466,73,46,8,48,30.09,10,None,3
2016-5-26,2393,77,48,7,55,30.08,10,None,3
2016-5-27,2281,80,60,9,64,30.06,10,None,3
2016-5-28,1996,79,59,9,62,30.13,10,None,3
2016-5-29,1727,77,60,7,64,30.11,8,Rain,2
2016-5-3,1353,56,82,9,52,29.83,7,Rain-Thunderstorm,2
2016-5-30,1702,74,80,6,68,30.0,8,Rain,2
2016-5-31,2400,79,58,7,61,29.95,10,None,3
2016-5-4,1525,53,77,10,46,29.75,9,Rain,2
2016-5-5,1707,54,73,11,45,29.69,9,Rain,2
2016-5-6,505,53,78,11,47,29.68,6,Rain,0
2016-5-7,1426,57,73,6,47,29.77,9,Rain,2
2016-5-8,1528,61,53,11,41,29.75,10,Rain,2
2016-5-9,1869,61,50,11,41,30.04,10,None,3
2016-6-1,2376,79,61,6,64,30.05,10,None,3
2016-6-10,2842,69,38,10,38,30.03,10,None,3
2016-6-11,2416,76,58,10,60,29.91,10,None,3
2016-6-12,2268,78,37,17,50,29.72,10,None,3
2016-6-13,2569,70,43,12,45,29.87,10,None,3
2016-6-14,2736,70,39,10,43,29.95,10,None,3
2016-6-15,2682,71,59,7,55,29.95,10,Rain,3
2016-6-16,1677,67,78,5,61,29.78,8,Rain-Thunderstorm,2
2016-6-17,2714,74,58,8,54,29.92,10,None,3
2016-6-18,2216,72,56,5,52,30.22,10,None,3
2016-6-19,1839,78,52,8,55,30.28,10,None,3
2016-6-2,2594,73,71,7,61,30.1,10,None,3
2016-6-20,2602,79,57,7,58,30.1,10,None,3
2016-6-21,2566,80,64,10,64,29.83,10,None,3
2016-6-22,2625,79,55,11,61,29.85,9,None,3
2016-6-23,2123,78,68,8,65,29.86,9,Rain,3
2016-6-24,2760,75,74,9,65,29.99,9,None,3
2016-6-25,2345,77,63,7,59,30.16,9,None,3
2016-6-26,2365,76,64,6,58,30.2,10,None,3
2016-6-27,2249,75,69,8,64,30.05,9,Rain,3
2016-6-28,2331,78,82,6,71,29.93,8,Rain,3
2016-6-29,2973,77,63,9,61,29.9,10,Rain,3
2016-6-3,1788,71,83,5,64,30.05,9,Rain,3
2016-6-30,2790,76,50,8,57,30.02,10,None,3
2016-6-4,2337,75,74,6,64,30.0,9,None,3
2016-6-5,1653,76,77,10,66,29.75,9,Rain-Thunderstorm,2
2016-6-6,2498,77,64,12,61,29.7,10,None,3
2016-6-7,2532,75,61,9,59,29.56,10,Rain-Thunderstorm,3
2016-6-8,2334,66,49,15,46,29.71,9,Rain-Thunderstorm,3
2016-6-9,2778,65,44,13,37,29.9,10,None,3
